Name,Sector,Address,City,State,Zip,Waste_Tons,Latitude,Longitude,Source_File
Sonic Drive-In,Limited-Service Restaurants,4534 Brandt Pike,Dayton,OH,45424.0,36.0,39.818898,-84.126767,RestaurantsAndFoodServices.xlsx
Sonic Drive-In,Limited-Service Restaurants,2890 Wilmington Pike,Dayton,OH,45419.0,5.6937375,39.705722,-84.141656,RestaurantsAndFoodServices.xlsx
Song Sushi,Full-Service Restaurants,5516 Airway Rd,Dayton,OH,45431.0,9.105228,39.770862,-84.108435,RestaurantsAndFoodServices.xlsx
Snickers Bar & Restaurant,Full-Service Restaurants,9372 W 3rd St,Dayton,OH,45417.0,13.568,39.745695,-84.354462,RestaurantsAndFoodServices.xlsx
Snapps Rallys,Limited-Service Restaurants,1205 N Gettysburg Ave,Dayton,OH,45417.0,16.568673,39.761605,-84.253671,RestaurantsAndFoodServices.xlsx
Smokin Inferno LLC,Full-Service Restaurants,62 Lynnhaven Dr,Dayton,OH,45431.0,11.872,39.765337,-84.124329,RestaurantsAndFoodServices.xlsx
Smoke Shop & Hookah Cafe,Full-Service Restaurants,958 Patterson Rd,Dayton,OH,45419.0,15.264,39.723954,-84.153362,RestaurantsAndFoodServices.xlsx
Smashburger,Limited-Service Restaurants,2315 Mmsburg Cntrville Rd,Dayton,OH,45459.0,106.5,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
"Skyline Chili, Inc.",Full-Service Restaurants,7603 Old Troy Pike,Dayton,OH,45424.0,23.744,39.864781,-84.139269,RestaurantsAndFoodServices.xlsx
"Skyline Chili, Inc.",Full-Service Restaurants,2805 Centre Dr,Dayton,OH,45403.0,44.096,39.771217,-84.049644,RestaurantsAndFoodServices.xlsx
Sky Asian Restaurant,Full-Service Restaurants,4090 Wilmington Pike,Dayton,OH,45440.0,13.568,39.686235,-84.127987,RestaurantsAndFoodServices.xlsx
Suzie S Fine Food & Drink LLC,Full-Service Restaurants,119 Poplar St,Dayton,OH,45415.0,6.784,39.82549,-84.238799,RestaurantsAndFoodServices.xlsx
Sweet Retreat Icecream,Limited-Service Restaurants,2613 S Smithville Rd,Dayton,OH,45420.0,10.5,39.729335,-84.141541,RestaurantsAndFoodServices.xlsx
Belmont Market,Supermarkets and Other Grocery (except Convenience) Stores,344 Watervliet Ave,Dayton,OH,45420.0,13.92,39.735843,-84.146616,FoodWholesaleAndRetail.xlsx
Szechuan Taste,Full-Service Restaurants,3261 W Siebenthaler Ave,Dayton,OH,45406.0,22.048,39.799969,-84.24138,RestaurantsAndFoodServices.xlsx
Turkish American Women's Community,Full-Service Restaurants,168 McReynolds St,Dayton,OH,45403.0,11.872,39.756104,-84.167138,RestaurantsAndFoodServices.xlsx
"Twins International, Inc.",Limited-Service Restaurants,1414 N Keowee St,Dayton,OH,45404.0,28.5,39.783685,-84.188668,RestaurantsAndFoodServices.xlsx
V P & Associates Inc,Full-Service Restaurants,1025 Shroyer Rd,Dayton,OH,45419.0,8.25,39.720908,-84.161372,RestaurantsAndFoodServices.xlsx
Asian Gourmet By L The Land of A Million Elephants LLC,All Other Specialty Food Stores,255 Regency Ridge Dr A,Dayton,OH,45459.0,11.6,39.642761,-84.161149,FoodWholesaleAndRetail.xlsx
Vinayak Wich LLC,Limited-Service Restaurants,5409 Cornerstone N Blvd,Dayton,OH,45440.0,16.5,39.660862,-84.104661,RestaurantsAndFoodServices.xlsx
W & W Pizza Inc,Limited-Service Restaurants,4628 Brandt Pike,Dayton,OH,45424.0,6.0,39.819918,-84.125288,RestaurantsAndFoodServices.xlsx
Tumbleweed Southwest Mesquite,Limited-Service Restaurants,2030 E Dorothy Ln,Dayton,OH,45420.0,41.421699,39.7024,-84.127461,RestaurantsAndFoodServices.xlsx
Washington Park Plaza Buffet Inc,Limited-Service Restaurants,2336 Fox Run Rd,Dayton,OH,45459.0,13.5,39.645849,-84.211056,RestaurantsAndFoodServices.xlsx
Weekend Rib Catering and Eatery LLC,Full-Service Restaurants,310 Kenilworth Ave,Dayton,OH,45405.0,16.96,39.776077,-84.208101,RestaurantsAndFoodServices.xlsx
